,Unnamed: 0,TWEET_ID,USER_ID,TWEET,EMOJI,TWEET_SENTIMENT,PROCESSED_TWEET,TARGET_EMOJIS_LIST,nltk_aggregated_score,spacy_aggregated_score,hugging_face_score,emoji_score,delta_nltk,delta_spacy,delta_hugging_face,gamma_text,gamma_emoticon,gamma
49,76,686223836866588672,120904645,"I think it's premature to worry about #Brexit when it hasn't happened, as well as fairly defeatist! But its what's best for them I guess 😐",0x1f610,neutral,think premature worry happen  well fairly defeatist  whats best guess,0x1f610,0.1779,0.85,0.4746581017971039,-0.388,0.5659000000000001,1.238,0.8626581017971039,1,0,1
57,91,686827521816576000,297286429,@TonyE_42 @eureferendum if you think you'll win #brexit in such a moot point than good luck with that😂,0x1f602,positive,think win moot point good luck,0x1f602,0.8658,0.75,-0.8837795853614807,0.221,0.6448,0.529,-1.1047795853614808,1,1,1
62,96,687055974805450752,402826190,"Poor Accounting?
POOR ACCOUNTING?????? 😈😈😈😈

I'm going to be sick!!!
#Fuck Off

#Brexit https://t.co/uusYdYjiVL",0x1f608|0x1f608|0x1f608|0x1f608,negative,poor accounting  poor accounting    im go sick   ,0x1f608|0x1f608|0x1f608|0x1f608,-0.8591,-0.5047619047619047,0.9486715197563172,0.265,-1.1240999999999999,-0.7697619047619048,0.6836715197563172,0,1,0
66,105,687368890331086848,63925655,"@NASA @astro_timpeake @Space_Station
Good luck &amp; have a great &amp; safe time Tim 👍😲✔
We're watching  #UK
#EUExit
#LeaveEU
#Brexit
#UKIP
#EUref",0x1f632,positive,good luck  great  safe time tim thumbs_up check_mark were watch,0x1f632,0.9169,0.6666666666666666,-0.9581681489944458,-0.068,0.9849000000000001,0.7346666666666666,-0.8901681489944457,1,0,1
87,134,688483410998915072,1027152660,@yorkshirebec Lol - Current Dow = early signal of market crash &amp; poss re-run of 2008. This could kill #Brexit 😮,0x1f62e,negative,lol  current dow  early signal market crash  po rerun 2008  could kill,0x1f62e,-0.8481,0.3,0.7169589400291443,0.269,-1.1171,0.030999999999999972,0.44795894002914427,0,1,0
89,136,688486528683761664,4765080481,@hollyhewitt8411 what are you??? 80?? It's Saturday fucking night for fucks sake 😂😂😂😂,0x1f602|0x1f602|0x1f602|0x1f602,negative,   80   saturday fuck night fuck sake,0x1f602|0x1f602|0x1f602|0x1f602,-0.7906,-0.4,0.9659627079963684,0.221,-1.0116,-0.621,0.7449627079963684,0,1,0
93,145,688719286957834240,3362362203,RT @JacobWhitesides: I hate this shit idk why no one can see my tweets 😂 https://t.co/IooAMGxfbU,0x1f602,neutral,rt hate shit idk one see tweet,0x1f602,-0.8271,-0.5,0.9695013165473938,0.221,-1.0481,-0.721,0.7485013165473938,0,1,0
96,155,689091961098211328,1483217395,I'm the one who got yo sister on flats &amp; shit 💊😎,0x1f60e,negative,im one get yo sister flat  shit pill,0x1f60e,-0.5574,-0.1125,0.8110867738723755,0.491,-1.0484,-0.6035,0.3200867738723755,0,1,0
100,159,689176127475183616,3130583288,"@spectator Brexit is just another excuse but when push comes to shove don't forget lots of Scottish people r clever,no oil,no Trump 😦",0x1f626,neutral,brexit another excuse push come shove forget lot scottish people r clever  oil  trump,0x1f626,0.34,0.0583333333333333,0.5104385614395142,-0.368,0.708,0.4263333333333333,0.8784385614395142,1,0,1
108,170,689592195435909120,297286429,Three kippers retweeted this parody tweet because (stupid as they are) they thought it was pro #brexit 😂 https://t.co/5HRzmeH2PA,0x1f602,neutral,three kipper retweeted parody tweet  stupid  think pro,0x1f602,-0.5267,-0.7999999999999999,0.8054478168487549,0.221,-0.7476999999999999,-1.021,0.5844478168487549,0,1,0
110,177,689805504906973184,46928872,People who think we'd be in a stronger position on trade negotiations outside the EU 🙈😐 #Brexit #strongerin,0x1f648|0x1f610,positive,people think wed strong position trade negotiation outside eu,0x1f648|0x1f610,0.5106,0.2166666666666666,0.8547811508178711,0.0219999999999999,0.48860000000000015,0.19466666666666668,0.8327811508178712,1,1,1
114,183,689921758779064320,84183328,One reason that #brexit might be better for the #humans involved? 😳 https://t.co/32kLveBds9,0x1f633,positive,one reason might better involve ,0x1f633,0.4404,0.5,0.5510847568511963,0.018,0.4224,0.482,0.5330847568511963,1,1,1
116,185,690081770323185664,26995562,RT @brendan_m96: Had a good laugh at this haha 😂😂 @1308Macfarlane https://t.co/5JeMEPkwOl,0x1f602|0x1f602,neutral,rt good laugh haha,0x1f602|0x1f602,0.8591,0.3999999999999999,-0.9454438090324402,0.221,0.6381,0.1789999999999999,-1.1664438090324403,1,1,1
121,197,690211558941691904,367999975,"And then wena? 😐 ""@_QueenCatt: Like we care  https://t.co/Z2fNiGvwWD""",0x1f610,neutral,wena   like care,0x1f610,0.6908,0.0,0.7375849485397339,-0.388,1.0788,0.388,1.1255849485397338,1,0,1
125,204,690311494739820544,18629308,#Brexit is such a stupid word. When did we start using silly made up words to discuss serious issues?! 😬 #bbcqt,0x1f62c,negative,stupid word  start use silly make word discuss serious issue  ,0x1f62c,-0.5574,-0.5444444444444444,0.8659405708312988,0.194,-0.7514000000000001,-0.7384444444444445,0.6719405708312989,0,1,0
127,206,690322936331378688,297286429,"@PaulJDavison quite right but what do you answer to people like that plant kipper with his ""they need us more than we them😤""
#brexit #bbcqt",0x1f624,positive,quite right answer people like plant kipper  need u ,0x1f624,0.3612,0.2857142857142857,0.4969610571861267,-0.209,0.5702,0.49471428571428566,0.7059610571861267,1,0,1
128,208,690346442209300480,297443753,RT @hana89cute: @moddy_89 @Lovelly_Shakyra @syafiqnshafiqah @elvirarami @amanyjks @angelbeaq1208 thanks darling im so happy 😘😂💕💕🐝🤗 https://…,0x1f618|0x1f602,neutral,rt thanks darling im happy two_hearts two_hearts honeybee smiling_face_with_open_hands,0x1f618|0x1f602,0.886,0.5,-0.9879010915756226,0.4609999999999999,0.4250000000000001,0.03900000000000009,-1.4489010915756224,1,1,1
132,218,690483951631212544,2725109187,@Nigel_Farage @themichaelcaine @benrileysmith 😂😂😂😂 'Blow the bloody doors off!' #Brexit,0x1f602|0x1f602|0x1f602|0x1f602,negative, blow bloody door  ,0x1f602|0x1f602|0x1f602|0x1f602,-0.4404,-0.8,0.8626692295074463,0.221,-0.6614,-1.0210000000000001,0.6416692295074463,0,1,0
134,223,690555355055722496,1622324250,You need new perfume or body wash or something PLEASE 😷,0x1f637,positive,need new perfume body wash something please,0x1f637,0.3182,0.1363636363636363,0.6739398241043091,-0.169,0.48719999999999997,0.3053636363636363,0.8429398241043091,1,0,1
138,231,690840144937684992,3935792619,"@CllrPhilKing @ruraloutback @MailOnline who allowed so many none Eu citizens in &amp; why? Time 4 Dave 2 have a vote, let's brexit now 😩",0x1f629,neutral,allow many none eu citizen   time 4 dave 2 vote  lets brexit,0x1f629,0.2263,0.5,0.7224278450012207,-0.368,0.5943,0.868,1.0904278450012206,1,0,1
148,251,691712908481396736,294707966,@GdnPolitics Certainly would not! A 'Brexit' would leave N.I &amp; Scotland IN the EU. (Or did you mean UK exit? The UK is the member state) 😒,0x1f612,negative,certainly would   brexit  would leave n   scotland eu   mean uk exit  uk member state ,0x1f612,0.296,-0.0491071428571428,0.8005028963088989,-0.374,0.6699999999999999,0.3248928571428572,1.174502896308899,1,0,1
149,253,691712298365362176,1331245213,@punjabified you are blind 😂,0x1f602,negative,blind,0x1f602,-0.4019,-0.5,0.5485795140266418,0.221,-0.6229,-0.721,0.32757951402664187,0,1,0
165,277,692156748401090560,936631651,Things like this make me support Brexit. 😒😒 https://t.co/n9SN8vZ5xk,0x1f612|0x1f612,positive,thing like make support brexit ,0x1f612|0x1f612,0.6369,0.0,0.68248450756073,-0.374,1.0109,0.374,1.05648450756073,1,0,1
171,291,692495507424415744,22085760,@TelegraphNews Oh the EU are doing their best for @BritainBetterIn aren't they 😂😂😂 #Brexit is on the cards for definite! @wdjstraw,0x1f602|0x1f602|0x1f602,positive,oh eu best card definite ,0x1f602|0x1f602|0x1f602,0.743,0.5,-0.678839385509491,0.221,0.522,0.279,-0.8998393855094909,1,1,1
182,307,692887365937795072,176356781,They were so thin &amp; they've been growing so nicely 😭,0x1f62d,neutral,thin  theyve grow nicely,0x1f62d,0.4404,0.0999999999999999,-0.8034181594848633,-0.093,0.5334,0.1929999999999999,-0.7104181594848633,1,0,1
188,317,693057903469666304,1966386108,#EUreferendum decides not Brussels. In work benefit reform does not control our borders. EU citizens still free to come anytime. #Brexit 😡,0x1f621,positive,decides brussels  work benefit reform control border  eu citizen still free come anytime ,0x1f621,0.743,0.4,0.5889754891395569,-0.173,0.9159999999999999,0.573,0.7619754891395569,1,0,1
195,330,693350332781481984,274405751,You people are just threatening yourselves with court anyhow. I am afraid. 😂,0x1f602,positive,people threaten court anyhow  afraid ,0x1f602,-0.3818,-0.6,0.7131260633468628,0.221,-0.6028,-0.821,0.4921260633468628,0,1,0
198,333,693402166611066880,3656559557,"Outrageous WakeUp #David_Cameron @David_Cameron these are head lines that are politically wrong 👎😲
#Veterans
#Brexit https://t.co/CsudW62KqP",0x1f632,negative,outrageous wakeup head line politically wrong thumbs_down,0x1f632,-0.7269,-0.75,0.930191934108734,-0.068,-0.6589,-0.6819999999999999,0.998191934108734,0,0,0
202,338,693593030704627712,297286429,"Got to give it to you Reg,
you win this #brexit debate hands down, hats off to your superior insight and #ukip debating skills &amp; patriotism😂",0x1f602,positive,get give reg  win debate hand  hat superior insight debate skill  patriotism,0x1f602,0.8885,0.75,0.5653383731842041,0.221,0.6675,0.529,0.3443383731842041,1,1,1
204,340,693732200089546752,297286429,"Don't bother Alan, it's not like your contributing great #brexit or economic wisdom
Take your time 😂

@Akabilky @Guedella",0x1f602,positive,bother alan  like contribute great economic wisdom take time,0x1f602,0.8225,0.5,-0.5385521054267883,0.221,0.6015,0.279,-0.7595521054267883,1,1,1
206,342,693804063327162368,3352408024,"@EmsDiti #kölnhbf German &amp; EU Gov favor a #refugee tax😡 German, UK, &amp; #EU citizens will not let this happen! Or we get #Brexit &amp; #Gerxit!",0x1f621,positive,german  eu gov favor tax german  uk   citizen let happen  get ,0x1f621,0.4019,0.0,0.7877459526062012,-0.173,0.5749,0.173,0.9607459526062012,1,0,1
207,343,693819879573606400,4633530137,RT @taylorcaniff: had the best day ever still haven't slept... this vibe and feels make me so happy 🙏🏻 #magcon is back,0x1f64f,neutral,rt best day ever still sleep  vibe feel make happy light_skin_tone back,0x1f64f,0.836,0.6,-0.9831463098526,0.417,0.419,0.183,-1.4001463098526,1,1,1
212,350,694065355073929216,46379767,"@DrClaireRush Try Brexit, become the umpteenth state.... Would that be an improvement? 😨",0x1f628,neutral,try brexit  become umpteenth state  would improvement ,0x1f628,0.4588,0.0,0.6838809847831726,-0.14,0.5988,0.14,0.8238809847831726,1,0,1
220,374,694484627512299520,306359633,"#Tusk proposal to avoid the #brexit, quoting Shakespeare... 😀, not bad https://t.co/HqxbOvGDRp",0x1f600,positive,proposal avoid quote shakespeare   bad,0x1f600,-0.6908,-0.6999999999999998,0.7570804357528687,0.568,-1.2588,-1.2679999999999998,0.1890804357528687,0,1,0
223,381,694506826755379200,3177406031,"@SkyNews This reminds me of the bride who glanced down at her groom's tadger, exclaiming with disappointment: 'Is that it?!' 😂 #BREXIT",0x1f602,neutral,reminds bride glance grooms tadger  exclaim disappointment     ,0x1f602,-0.5106,-0.6,0.6294481158256531,0.221,-0.7316,-0.821,0.4084481158256531,0,1,0
230,396,694586812442873856,583131569,"This is some deal. 😐 

""Countries that aren't part of the euro won't need to pay...to protect the currency""

#Brexit
https://t.co/G4czapz4i4",0x1f610,positive,deal   country part euro need pay  protect currency ,0x1f610,0.296,0.0,0.7960440516471863,-0.388,0.6839999999999999,0.388,1.1840440516471862,1,0,1
233,400,694592500296761344,3656559557,"NO NO NO NO NO NO 
NOT WHAT IS WANTED ... #BREXIT #LeaveEU
#reforms failed
#LeaveEU
#migrantcrisis
#UKIP
👎😀👏✔ https://t.co/iWI81ZPBHN",0x1f600,positive,want  fail thumbs_down clapping_hands check_mark,0x1f600,-0.4939,-0.5,0.5087766051292419,0.568,-1.0619,-1.068,-0.059223394870758006,0,1,0
235,406,694627792332419072,22085760,"@LouiseMensch @JunckerEU Even if we vote #Remain, they're all out of a job once the #GrassRoots take their revenge! 80%+ want #Brexit 😂😂",0x1f602|0x1f602,negative,even vote theyre job take revenge  80   want,0x1f602|0x1f602,-0.4767,0.0,0.5962496399879456,0.221,-0.6977,-0.221,0.3752496399879456,0,1,0
238,412,694666250501361664,284247657,"@DanHannanMEP If you think today means disdain and contempt, just wait till you kids come looking for a trade deal post-#Brexit 😂",0x1f602,negative,think today mean disdain contempt  wait till kid come look trade deal post ,0x1f602,-0.7845,-0.3125,0.56276935338974,0.221,-1.0055,-0.5335,0.34176935338974,0,1,0
244,422,694886729820540928,716736364,"Reformed EU Dave? 😂😂

Believe that shit and you'll believe anything #brexit",0x1f602|0x1f602,negative,reform eu dave  believe shit believe anything,0x1f602|0x1f602,-0.5574,-0.2,0.5998520255088806,0.221,-0.7784,-0.42100000000000004,0.37885202550888064,0,1,0
250,432,694972646337961984,2437266410,@dkayevo it was an Earthquake or something..it is just sad to see my store damaged because in a way..it's my baby. 😢 #TF2Words,0x1f622,negative,earthquake something  sad see store damage way  baby ,0x1f622,-0.743,-0.5,0.8556329011917114,0.007,-0.75,-0.507,0.8486329011917114,0,1,0
251,433,695002590963220480,275896693,"The absolute best that can be said for Cameron's fake EU 'deal', courtesy of SKY. More Cameron 'promises' 😬 #Brexit https://t.co/Qp6erCm2H3",0x1f62c,positive,absolute best say camerons fake eu  deal   courtesy sky  cameron  promise ,0x1f62c,0.7096,0.2333333333333333,0.5041301846504211,0.194,0.5156000000000001,0.039333333333333304,0.31013018465042114,1,1,1
253,435,695135847948144640,275896693,Wake Up Britain! It's not so much the lies I resent its the arrogant belief I'll swallow them 😬 #LeaveEU #Brexit  https://t.co/gtmIuBqMnH,0x1f62c,negative,wake britain  much lie resent arrogant belief ill swallow,0x1f62c,-0.7717,-0.15,0.8466772437095642,0.194,-0.9657,-0.344,0.6526772437095643,0,1,0
254,436,695159298100342784,39731436,Lol forreal gather your thoughts real quick so you don't say nothing crazy and shit😭 https://t.co/VUY81oi2tN,0x1f62d,negative,lol forreal gather thought real quick say nothing crazy shit,0x1f62d,0.7757,0.125,0.6263152956962585,-0.093,0.8686999999999999,0.218,0.7193152956962585,1,0,1
255,437,695167753225924608,2170986966,@mariedd52 I really think apathy is a big enemy of #Brexit.  I'll sort it 😉,0x1f609,negative,really think apathy big enemy ill sort,0x1f609,-0.8307,-0.0999999999999999,0.8838444948196411,0.463,-1.2937,-0.563,0.4208444948196411,0,1,0
262,452,695334659115216896,2965766097,Damn his strategy 'failed' Oops ( no oops😈 ) #EUBuzz #Brexit  https://t.co/qLohMRpvuq,0x1f608,negative,damn strategy  fail  oops  oops ,0x1f608,-0.7351,-0.5,0.9340862035751344,0.265,-1.0001,-0.765,0.6690862035751344,0,1,0
264,456,695357148323131392,4450772008,"""@lblchloe: @rdiamond89 WHAT DID I JUST READ?!!"" IKR? 💥💥💥😨😨😨",0x1f628|0x1f628|0x1f628,negative, read     ikr  collision collision collision,0x1f628|0x1f628|0x1f628,-0.7579,0.0,0.6451808214187622,-0.14,-0.6179,0.14,0.7851808214187622,0,0,0
273,470,695560239681146880,787546010,RT @KamyWhale: When you knew your crush was the imam 😍😂 https://t.co/KLLfDokZgL,0x1f60d|0x1f602,negative,rt know crush imam,0x1f60d|0x1f602,-0.1531,0.0,0.7923853397369385,0.4495,-0.6026,-0.4495,0.34288533973693847,0,1,0
285,497,695876185851588608,85386747,It may be what he hopes will happen! Sowh UK how shit EU is; Let British people decide. #VoteLeaveEU #BREXIT &amp; GO.😁 https://t.co/ma49oyRktL,0x1f601,negative,may hop happen  sowh uk shit eu  let british people decide   go ,0x1f601,-0.5574,-0.1,0.6370468735694885,0.449,-1.0064,-0.549,0.18804687356948852,0,1,0
288,500,695892166590263296,2814706747,@NUFC @mickquinn1089 @WBAFCofficial your shit and you know you are; you're shit and you know  you are! 😂,0x1f602,negative,shit know  shit know ,0x1f602,-0.802,-0.2,0.7385997176170349,0.221,-1.0230000000000001,-0.42100000000000004,0.5175997176170349,0,1,0
290,503,695972337053777920,4707221303,@Brexit_or_bust @AMDWaters @ArRuple No racism here. It's time to free minds. (End transmission) 😝,0x1f61d,positive,racism  time free mind   end transmission ,0x1f61d,-0.2023,0.4,0.6295136213302612,0.423,-0.6253,-0.022999999999999965,0.20651362133026124,0,1,0
291,505,695960296637272064,4864316980,@KTHopkins @2tweetaboutit @UKIP #EU #Brexit They're all #misogynistic vile scum that we really need to #deport &amp; stop others entering..!! 😠😬,0x1f620|0x1f62c,negative,theyre vile scum really need  stop others enter   ,0x1f620|0x1f62c,-0.7635,-0.0499999999999999,0.9612007737159728,-0.0524999999999999,-0.7110000000000001,0.0025000000000000022,1.0137007737159727,0,0,0
295,511,696061535853133824,449296070,@LouiseMensch @voteleave Can’t wait to vote for #Brexit 5th largest economy &amp; trade deficit with #EU We’ll be fine😃👍🏾👍🏾,0x1f603,neutral, wait vote 5th large economy  trade deficit  fine thumbs_up mediumdark_skin_tone thumbs_up mediumdark_skin_tone,0x1f603,-0.2263,0.3154761904761904,0.646725594997406,0.557,-0.7833000000000001,-0.24152380952380964,0.08972559499740596,0,1,0
306,533,696414913791664128,97407796,RT @itscolbybrock: Want a chance to win 50K? 😁Create an epic #Doritos tweet/pic/video or even text like mine and you could win! #ad https:/…,0x1f601,positive,rt want chance win 50k  create epic tweet  pic  video even text like mine could win ,0x1f601,0.926,0.5666666666666668,-0.663953959941864,0.449,0.47700000000000004,0.11766666666666675,-1.112953959941864,1,1,1
307,537,696606335660650496,57957190,"EU referendum: PM warns Brexit could bring the 'Jungle' to the UK

Cameron should retract the statement😡 apologise  https://t.co/eT22sDvgFW",0x1f621,negative,eu referendum  pm warn brexit could bring  jungle  uk cameron retract statement apologise,0x1f621,0.296,0.0,0.5471055507659912,-0.173,0.469,0.173,0.7201055507659913,1,0,1
309,541,696624591897280512,2170986966,"@LadyDurrant 
Good for her &amp; she's very articulate. 
Might well take a woman to slap the PM around a bit 😈 #Brexit",0x1f608,positive,good  articulate  might well take woman slap pm around bit,0x1f608,0.6808,0.7,0.5939552783966064,0.265,0.41579999999999995,0.43499999999999994,0.32895527839660643,1,1,1
315,552,696728628390989824,502530129,It look like shawty only got 2 bundles 😭😭😭,0x1f62d|0x1f62d|0x1f62d,neutral,look like shawty get 2 bundle,0x1f62d|0x1f62d|0x1f62d,0.3612,0.0,0.8474002480506897,-0.093,0.45420000000000005,0.093,0.9404002480506897,1,0,1
316,553,696731789101035520,368866013,"Of course @MrTCHarris supports #Brexit, he's far too sane to swallow the pro-EU nonsense. Just a shame he's still in the wrong party.. 😜",0x1f61c,negative,course support hes far sane swallow proeu nonsense  shame hes still wrong party ,0x1f61c,-0.5423,-0.2,0.6062136292457581,0.455,-0.9973000000000001,-0.655,0.15121362924575804,0,1,0
319,557,696758864948109312,229446071,@rattpxck yes boo. Yes. 😢😕,0x1f622|0x1f615,positive,yes boo  yes ,0x1f622|0x1f615,0.6597,0.0,-0.8687968254089355,-0.195,0.8547,0.195,-0.6737968254089355,1,0,1
322,561,696767560210108416,21206270,If you in a relationship give your girl head like 5 times a day she gon love you for real 😂😂,0x1f602|0x1f602,negative,relationship give girl head like 5 time day gon love real,0x1f602|0x1f602,0.7717,0.35,-0.6885935664176941,0.221,0.5507000000000001,0.12899999999999998,-0.9095935664176941,1,1,1
324,564,696789456444125184,297286429,@FergusMason1 what great deals could UK offer these emerging markets after #brexit ?  Buy two Range Rovers get one free😂,0x1f602,positive,great deal could uk offer emerge market  buy two range rover get one free,0x1f602,0.8126,0.6000000000000001,-0.8873791098594666,0.221,0.5916,0.3790000000000001,-1.1083791098594666,1,1,1
332,575,697001086348087296,22085760,"@NicholasTyrone If it happens, only candidates with chance of gaining  #TopJob will be whoever backs #Brexit 71% of #GrassRoots want it! 😂😂",0x1f602|0x1f602,positive,happens  candidate chance gain whoever back 71  want ,0x1f602|0x1f602,0.6908,0.0,0.6321312785148621,0.221,0.4698,-0.221,0.4111312785148621,1,1,1
335,581,697088265749405696,297286429,"@RuthLeaEcon 
Ruth the Germans can still sell their cars tariff free to UK after #brexit, whereas UK Nissans will attract EU common tariff 😖",0x1f616,positive,ruth german still sell car tariff free uk whereas uk nissan attract eu common tariff,0x1f616,0.7003,0.0333333333333333,0.8856220841407776,-0.155,0.8553000000000001,0.1883333333333333,1.0406220841407776,1,0,1
337,583,697093247399755776,297286429,@minefornothing yes and when pigs develop wings after #brexit they will definitely fly and be for sale at Wimpy's 😂 https://t.co/SGAg0RD8k4,0x1f602,positive,yes pig develop wing definitely fly sale wimpys,0x1f602,0.6597,0.8,0.5804213285446167,0.221,0.4387,0.5790000000000001,0.3594213285446167,1,1,1
349,601,697212154781552640,297286429,"@Phoenixarised is so dumb he favourited my anti #brexit tweet😂
@somersetlevel @cogitator99 https://t.co/DGb0886t70",0x1f602,negative,dumb favourited anti tweet,0x1f602,-0.6808,-0.375,0.8581938743591309,0.221,-0.9017999999999999,-0.596,0.6371938743591309,0,1,0
351,603,697219225065287680,297286429,"@Phoenixarised joining a gym and never going there for a work out describes best UK traders attitude to EU and #brexit
Then ask for rebate 😤",0x1f624,positive,join gym never go work describes best uk trader attitude eu ask rebate,0x1f624,0.7506,1.0,0.5790513157844543,-0.209,0.9596,1.209,0.7880513157844543,1,0,1
363,627,697884041132032000,297286429,@DavidJo52951945 #brexit say bye bye to #foodsecurity and hi to more supermarket profits: YOU won't see a penny of it 😓,0x1f613,neutral,say bye bye hi supermarket profit  see penny,0x1f613,0.4404,0.0,0.597493588924408,-0.08,0.5204,0.08,0.6774935889244079,1,0,1
366,631,697928491866652672,21504984,Who even came up with Brexit? It sounds like a breakfast exit... 😑 #bbcqt,0x1f611,positive,even come brexit  sound like breakfast exit ,0x1f611,0.3612,0.4,0.5140982866287231,-0.311,0.6722,0.7110000000000001,0.8250982866287231,1,0,1
371,639,698101826554564608,1710743832,#Brexit SPREAD THE WORD ALISTAIR MATE BABYLON THE GREAT HAS FALLEN EU EXIT 😕 https://t.co/eufBLSwzlH,0x1f615,positive,spread word alistair mate babylon great fall eu exit,0x1f615,0.6249,0.8,0.7192335724830627,-0.397,1.0219,1.197,1.1162335724830628,1,0,1
376,648,698253228987777024,1126411814,It's only been 2 months in 2016😭😭😭 slow ya role lmao https://t.co/lZFz3seMWP,0x1f62d|0x1f62d|0x1f62d,neutral,2 month 2016 slow ya role lmao,0x1f62d|0x1f62d|0x1f62d,0.5994,0.1499999999999999,0.7336871027946472,-0.093,0.6924,0.2429999999999999,0.8266871027946472,1,0,1
378,652,698360971480461312,77776648,"@lizbissonette A great fan😳 Also in love with you, but that's not the point",0x1f633,negative,great fan also love  thats point,0x1f633,0.891,0.65,-0.9652419090270996,0.018,0.873,0.632,-0.9832419090270996,1,1,1
389,667,698581726931587072,3656559557,"#UKIP is definitely the only guys that understand the #british people 
#Brexit
#LeaveEU
#migrantcrisis
#GO
#OUTEU
👍😲
https://t.co/IaHcfFHAZ6",0x1f632,neutral,definitely guys understand people thumbs_up,0x1f632,0.4019,0.0,-0.6004034876823425,-0.068,0.4699,0.068,-0.5324034876823425,1,0,1
391,671,698742767170805760,1552822501,"Angela Merkel's 'attack dog' threatens UK "" cant survive "" 😂 Brexit
https://t.co/8wMQivX2bV  via @MailOnline",0x1f602,negative,angela merkels  attack dog  threatens uk  cant survive  brexit via,0x1f602,-0.6908,0.0,0.925418734550476,0.221,-0.9117999999999999,-0.221,0.704418734550476,0,1,0
393,674,698782052536164352,297286429,"Interesting WTO rules forbid UK to retaliate in any trade war with EU were UK to retaliate😱

@sparks30303 @fredfinblogs @MailOnline #brexit",0x1f631,negative,interest wto rule forbid uk retaliate trade war eu uk retaliate,0x1f631,-0.4939,0.0,0.6837759017944336,0.19,-0.6839,-0.19,0.4937759017944336,0,1,0
