,TWEET_ID,USER_ID,TWEET,EMOJI,TWEET_SENTIMENT,PROCESSED_TWEET,TARGET_EMOJIS_LIST,nltk_aggregated_score,spacy_aggregated_score,hugging_face_score,emoji_score,delta_nltk,delta_spacy,delta_hugging_face
19,684487425368965120,39743549,"V. Interesting rep on Greenland &amp; #brexit from @carolynquinncq on @BBCPM today. (Yes, it was many hours ago - but worth catching up on 😊)",0x1f60a,positive,v  interesting rep greenland  today   yes  many hour ago  worth catch smiling_face_with_smiling_eyes ,0x1f60a,0.743,0.43333333333333335,-0.9545208811759949,0.644,0.09899999999999998,0.21066666666666667,1.598520881175995
22,684518418473742336,4370662756,"@SkyNews I'm not sure the Rothschilds will allow a ""Brexit""! 😉",0x1f609,positive,im sure rothschild allow  brexit   winking_face,0x1f609,0.4939,0.5,0.6532466411590576,0.463,0.030899999999999983,0.03699999999999998,0.1902466411590576
23,684556307421130752,632880472,#Facts 👏🏼👌🏼🙌🏼 https://t.co/MEsfPcb3lQ,0x1f64c,neutral,clapping_hands mediumlight_skin_tone OK_hand mediumlight_skin_tone raising_hands mediumlight_skin_tone,0x1f64c,0.0,0.0,0.8505701422691345,0.559,0.559,0.559,0.29157014226913447
24,684617241074216960,45305921,now I don't feel as bad about the wine glass I broke tonight 😅😅 https://t.co/wcEkrLgi2H,0x1f605|0x1f605,positive,feel bad wine glass break tonight grinning_face_with_sweat grinning_face_with_sweat,0x1f605|0x1f605,-0.5423,-0.6999999999999998,0.762944757938385,0.178,0.7202999999999999,0.8779999999999999,0.5849447579383851
25,684654326342483968,132136847,"@paulwaugh 

V. Significant is DC free vote on Brexit ..... call yourself a journalist ??   😕👎",0x1f615,positive,v  significant dc free vote brexit  call journalist   confused_face thumbs_down,0x1f615,0.6249,0.3875,0.47395938634872437,-0.397,1.0219,0.7845,0.8709593863487244
29,684665172808568832,19444575,"@SkyNews Cameron giving a free vote in #Brexit doesn't show very good leadership 😂 Sorry that's just if Corbyn did it, unbelievably biased",0x1f602,positive,cameron give free vote show good leadership face_with_tears_of_joy sorry thats corbyn  unbelievably bias,0x1f602,0.6378,0.08750000000000002,0.4172765910625458,0.221,0.41680000000000006,0.13349999999999998,0.19627659106254577
31,684739712481902592,3177406031,@galboy_ledge @HuffPostUK #BREXIT I have nothing more to add.😕,0x1f615,neutral,nothing add  confused_face,0x1f615,0.0,0.0,0.6379302740097046,-0.397,0.397,0.397,1.0349302740097046
32,684725737409089536,235508398,Are these really the best arguments which Grauniad europhiles can muster for keeping UK in #eu? 😂 #Brexit https://t.co/KYwZneuT8k,0x1f602,positive,really best argument grauniad europhiles muster keep uk face_with_tears_of_joy,0x1f602,0.4048,1.0,-0.638880729675293,0.221,0.1838,0.779,0.8598807296752929
37,685006303996022784,295653609,"Do Iceland, Norway &amp; Switzerland really point the way for UK farming post #Brexit? Owen Paterson occupying a parallel universe @BBCr4today😕",0x1f615,neutral,iceland  norway  switzerland really point way uk farm post owen paterson occupy parallel universe,0x1f615,0.0,0.1,0.8812142610549927,-0.397,0.397,0.497,1.2782142610549927
40,685081433774387200,28343777,"@AfredAlbion @britainelects Think we'll have to see what Brexit brings,our only hope,or else it's , ""goodbye from me,and goodbye from him'😂",0x1f602,neutral,think well see brexit brings  hope  else   goodbye  goodbye  face_with_tears_of_joy,0x1f602,0.6124,0.0,0.4458906054496765,0.221,0.3914000000000001,0.221,0.2248906054496765
42,685114143670665216,3177406031,"@Shazza1uk Excellent point Sharon. Hope all is going well with #brexit campaign in your challenging, more europhile Scotland. Good luck😊",0x1f60a,positive,excellent point sharon  hope go well campaign challenging  europhile scotland  good luck smiling_face_with_smiling_eyes,0x1f60a,0.9349,0.7333333333333334,-0.9741083979606628,0.644,0.29089999999999994,0.08933333333333338,1.618108397960663
43,685122697815322624,3177406031,RT @Ty_runnin: Jenna LIT 🔥😻 #NCAAChampionships http://t.co/XiilOMFtdZ,0x1f63b,positive,rt jenna light fire smiling_cat_with_hearteyes,0x1f63b,-0.34,0.4,-0.5602960586547852,0.619,0.9590000000000001,0.21899999999999997,1.1792960586547852
44,685123315074088960,34567671,😂😂😂💀 .. But I'm shy I let them talk &amp; just do it  https://t.co/Hqm73bSHKr,0x1f602|0x1f602|0x1f602,neutral,face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy skull  im shy let talk ,0x1f602|0x1f602|0x1f602,-0.25,-0.5,0.5984403491020203,0.221,0.471,0.721,0.3774403491020203
45,685142708416081920,459338513,"@DanHannanMEP Just watch the Corporates leave the UK if Brexit happens: bye bye car industry to Munich, bye bye banks to Frankfurt 😭",0x1f62d,negative,watch corporates leave uk brexit happens  bye bye car industry munich  bye bye bank frankfurt loudly_crying_face,0x1f62d,-0.0516,0.0,0.6348091959953308,-0.093,0.0414,0.093,0.7278091959953308
46,685130868415967232,234113605,"Nobody would want to see @nick_clegg sad on his birthday, would they? 😥😢😭 #InForClegg #brexit https://t.co/jq6CB6EGSR",0x1f625|0x1f622|0x1f62d,negative,nobody would want see sad birthday  would  sad_but_relieved_face crying_face loudly_crying_face,0x1f625|0x1f622|0x1f62d,-0.4215,-0.5,0.7852102518081665,0.012000000000000002,0.4335,0.512,0.7732102518081665
48,685178187337330688,341417636,"Hungary sees #EU #benefits #deal with #UK, poll shows #Brexit support rising. #Negative #News 😏
https://t.co/hoMu2yTn4R via @Reuters",0x1f60f,positive,hungary see poll show support rise  smirking_face via,0x1f60f,0.4019,0.0,0.7112931609153748,0.332,0.06989999999999996,0.332,0.37929316091537474
50,685235756642766848,1259750492,"@AmandaCoban
Ugh, &amp; I've been complaining that the BBC keeps using the (not an actual) word ""Brexit"";  but ""flanter"" is worse! 😒",0x1f612,negative,ugh   ive complaining bbc keep use  actual  word  brexit    flanter  worse  unamused_face,0x1f612,-0.7717,-0.2,0.9478594660758972,-0.374,0.39770000000000005,0.174,1.3218594660758973
51,685222307820924928,3300640342,Democratic values according to European Commisioner 😃 #Brexit https://t.co/pdQc208BoZ,0x1f603,neutral,democratic value accord european commisioner grinning_face_with_big_eyes,0x1f603,0.34,0.0,0.7879006266593933,0.557,0.21700000000000003,0.557,0.23090062665939326
52,685257302643834880,575690565,"Hungarian PM tells David Cameron 'we are not migrants or parasites' 

#BREXIT: we shall win 😀 https://t.co/XgWfw8haSZ",0x1f600,positive,hungarian pm tell david cameron  migrant parasite  shall win grinning_face,0x1f600,0.5859,0.8,0.7062299847602844,0.568,0.017900000000000027,0.2320000000000001,0.13822998476028447
53,685335406179663872,99940124,How are we going to have an internationale if we don't talk to each other in Europe? 😀 reform not brexit! https://t.co/XYJ9GKUg48,0x1f600,neutral,go internationale talk europe  grinning_face reform brexit ,0x1f600,0.0,0.0,0.8104373812675476,0.568,0.568,0.568,0.24243738126754766
54,685369415408467968,3656559557,"@PowellPolitics @UK__News
You are so right #Boris will make a real difference. His business acumen in appreciating #UK needs after #Brexit 😲",0x1f632,positive,right make real difference  business acumen appreciate need astonished_face,0x1f632,0.4019,0.24285714285714285,-0.7715050578117371,-0.068,0.4699,0.31085714285714283,0.703505057811737
56,685402696266985472,79564194,How will London pay off the Provinces? 😱 A question that never gets old. Nice paper by @KirstyS_Hughes on 🇪🇺 #Brexit https://t.co/6QMPJxuJTb,0x1f631,positive,london pay province  face_screaming_in_fear question never get old  nice paper  ,0x1f631,-0.4082,0.35,-0.7235498428344727,0.19,0.5982000000000001,0.15999999999999998,0.9135498428344726
58,685439751395082240,3656559557,"@KateHoeyMP @DavidHadley1973 @standardnews
Very refreshing thoughts for #Brexit #LeaveEU I must say
We in #UK must think of the #world too👍😉",0x1f609,neutral,refresh thought must say must think thumbs_up winking_face,0x1f609,0.0,0.0,0.8048309683799744,0.463,0.463,0.463,0.34183096837997434
59,685447214425063424,3656559557,"Great just heard that @LBC is being renamed as #LeaveBritainConversation
That'll be great listening
#Brexit
#LeaveEU
#UKIP
#closeborders👍😲",0x1f632,positive,great heard rename great listening,0x1f632,0.8481,0.8,-0.9223957061767578,-0.068,0.9160999999999999,0.8680000000000001,0.8543957061767578
62,685506473993043968,328577933,Amazing @mayahayuk mural in the neighborhood! 🙌 #spaceninety8 #williamsburg #mayahayuk https://t.co/wizigzcLKp,0x1f64c,neutral,amaze mural neighborhood  raising_hands,0x1f64c,0.5423,0.0,0.8169175386428833,0.559,0.016700000000000048,0.559,0.25791753864288325
63,685535288718979072,3656559557,"Just to remind those who have forgotten if we #UK stay in #EU what things will be like
I think we want #Brexit Now👍😲 https://t.co/1WePry9hKL",0x1f632,neutral,remind forgotten stay thing like think want thumbs_up astonished_face,0x1f632,0.2263,0.0,0.7950665354728699,-0.068,0.2943,0.068,0.8630665354728699
64,685592486480338944,3656559557,"@afneil

Not if they are all #refugees form #Syria or #NorthAfrica 👎😲 ??
#Brexit
#LeaveEU
#migrantcrisis
#UKIP
#closeborders
#EUref",0x1f632,neutral,form thumbs_down astonished_face  ,0x1f632,0.0,0.0,0.6801338195800781,-0.068,0.068,0.068,0.7481338195800782
66,685752822353256448,133632020,RT @gdegamo81: Come n join us d'Gathering 1st meet &amp; greet with #ToMiho pls Pm this no.09993799599 for more info🙌limited slots only https:/…,0x1f64c,positive,rt come n join u dgathering 1st meet  greet pls pm  09993799599 info raising_hands limit slot,0x1f64c,0.5859,0.0,0.820294201374054,0.559,0.026899999999999924,0.559,0.2612942013740539
68,685761415324524544,2250726350,"@Jon_Danzig @David_Cameron @IvanLewis_MP perhaps this position of the British Government is because they must be ""coherent"" with #Brexit 😞",0x1f61e,neutral,perhaps position british government must  coherent  disappointed_face,0x1f61e,0.0,0.25,0.7233303189277649,-0.118,0.118,0.368,0.8413303189277649
69,685767436675723264,3656559557,"@JGForsyth @britom1947 @TheSun
@BetterOffOut @TheSun
Good thing too free vote #Brexit #LeaveEU #votetoleave #EUExit #worldtrade ✔
#UKIP 👍😲✔",0x1f632,positive,good thing free vote check_mark thumbs_up astonished_face check_mark,0x1f632,0.7351,0.55,-0.6469323635101318,-0.068,0.8030999999999999,0.6180000000000001,0.5789323635101318
70,685941114755485696,252216243,"Day 05 - #MyDeariesChallenge 
Fav #Rumbelle Scene (EnchantedForest) 

#BelleRulesTheKing 🙆💐 https://t.co/AXP0YJXbnW",0x1f646,positive,day 05  fav scene  enchantedforest  person_gesturing_OK bouquet,0x1f646,0.4588,0.0,0.744111955165863,0.5,0.041200000000000014,0.5,0.24411195516586304
72,686138960452710400,394257912,.@SwenLorenz @LeaveEUOfficial Who on earth has called 'BREXIT an old peoples' subject' 😂😂😂,0x1f602|0x1f602|0x1f602,neutral, earth call  brexit old people  subject  face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,0x1f602|0x1f602|0x1f602,0.0,-0.033333333333333326,0.6014249920845032,0.221,0.221,0.2543333333333333,0.3804249920845032
73,686129793574793216,60017224,"RT @MsPabii: THIS is why I watch Ghanaian movies!!! #LongLiveKumawood
#KumawoodShallNeverDie

😂😂😂😩😩😩😂😂😂
🙌🏿🙌🏿🙌🏿 https://t.co/SWpKK70KhC",0x1f602|0x1f602|0x1f602|0x1f629|0x1f629|0x1f629|0x1f602|0x1f602|0x1f602|0x1f64c|0x1f64c|0x1f64c,neutral,rt watch ghanaian movie    face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy weary_face weary_face weary_face face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy raising_hands dark_skin_tone raising_hands dark_skin_tone raising_hands dark_skin_tone,0x1f602|0x1f602|0x1f602|0x1f629|0x1f629|0x1f629|0x1f602|0x1f602|0x1f602|0x1f64c|0x1f64c|0x1f64c,0.0,0.0,0.7168855667114258,0.15825000000000003,0.15825000000000003,0.15825000000000003,0.5586355667114258
75,686206053449641984,629572222,"@RichardDawkins @GrahamGords1001 I agree, and wish those #Brexit advocates would stop getting their knickers into such twists when I 😎",0x1f60e,positive,agree  wish advocate would stop get knickers twist smiling_face_with_sunglasses,0x1f60e,0.4588,0.0,0.5466606020927429,0.491,0.032200000000000006,0.491,0.05566060209274293
76,686223836866588672,120904645,"I think it's premature to worry about #Brexit when it hasn't happened, as well as fairly defeatist! But its what's best for them I guess 😐",0x1f610,neutral,think premature worry happen  well fairly defeatist  whats best guess neutral_face,0x1f610,0.1779,0.85,0.5257776379585266,-0.388,0.5659000000000001,1.238,0.9137776379585266
77,686238757201297408,274405751,the voice kids fofo como sempre 😍,0x1f60d,positive,voice kid fofo como sempre smiling_face_with_hearteyes,0x1f60d,0.0,0.0,0.6505288481712341,0.678,0.678,0.678,0.027471151828765916
81,686615589654233088,232152692,"RT @Niicolee_28: YA QUIERO QUE LLEGUE EL VERANO, PUÑEETAAAA ☀🌊🏄🏊⚓🚣🚤👙🙌",0x1f64c,positive,rt ya quiero que llegue el verano  puñeetaaaa sun water_wave person_surfing person_swimming anchor person_rowing_boat speedboat bikini raising_hands,0x1f64c,0.0,0.0,0.8496922850608826,0.559,0.559,0.559,0.2906922850608825
82,686631203210788864,495043728,the smell of chorizo disgusts me😷😷,0x1f637|0x1f637,neutral,smell chorizo disgust face_with_medical_mask face_with_medical_mask,0x1f637|0x1f637,-0.5994,0.0,0.6671229004859924,-0.169,0.4304,0.169,0.8361229004859925
83,686640763992715264,109036311,Baby 😍💘💞💕 https://t.co/siuUYxc5Kq,0x1f60d,negative,baby smiling_face_with_hearteyes heart_with_arrow revolving_hearts two_hearts,0x1f60d,0.0,0.0,-0.6807445883750916,0.678,0.678,0.678,1.3587445883750915
88,686661570655567872,140604619,"😆 Oh dear, what a shame, never mind #Brexit https://t.co/9ww3UKIAnJ",0x1f606,neutral,grinning_squinting_face oh dear  shame  never mind,0x1f606,-0.128,0.0,0.45783403515815735,0.409,0.5369999999999999,0.409,0.048834035158157374
90,686825117184319488,297286429,@TonyE_42 @eureferendum yes it shows EU had muscle; #brexit and industry just bribes a weak member to veto.the lot. Thanks for the heads up😂,0x1f602,negative,yes show eu muscle  industry bribe weak member vetothe lot  thanks head face_with_tears_of_joy,0x1f602,0.2263,-0.0875,0.6079965233802795,0.221,0.005299999999999999,0.3085,0.38699652338027957
91,686827521816576000,297286429,@TonyE_42 @eureferendum if you think you'll win #brexit in such a moot point than good luck with that😂,0x1f602,positive,think win moot point good luck face_with_tears_of_joy,0x1f602,0.8658,0.75,-0.8773302435874939,0.221,0.6448,0.529,1.098330243587494
92,686837065452023808,353713166,"A recent Brexit poll showed, amongst UKIP voters, 72% would vote to leave the EU 😳 #brexit #eu",0x1f633,negative,recent brexit poll show  amongst ukip voter  72  would vote leave eu flushed_face,0x1f633,-0.0516,0.0,0.8089377880096436,0.018,0.0696,0.018,0.7909377880096435
93,686838865794076672,297286429,"@eureferendum @PeteNorth303 @WhiteWednesday

That army of #brexit bloggers really impressive 😂

 https://t.co/dAjuCv0vBC",0x1f602,positive,army blogger really impressive face_with_tears_of_joy,0x1f602,0.5563,1.0,-0.9396272301673889,0.221,0.33530000000000004,0.779,1.160627230167389
94,686899963742273536,21009701,"@COYBIG1967 
😂👏🏾👏🏾The #Brexit Ref is to be sprung on UK around the time of the Scot's general election results. #IndyRef2 may be a surprise",0x1f602,neutral,face_with_tears_of_joy clapping_hands mediumdark_skin_tone clapping_hands mediumdark_skin_tone ref sprung uk around time scots general election result  may surprise,0x1f602,0.2732,0.05000000000000002,0.6705470681190491,0.221,0.052199999999999996,0.17099999999999999,0.4495470681190491
95,686970274651181056,297286429,"@DancerGuard @nickareay @Democracy4evaUk
Look this is how it works: Chairman of Board says one thing; CEO is working on #brexit contingency😝",0x1f61d,neutral,look work  chairman board say one thing  ceo work contingency squinting_face_with_tongue,0x1f61d,0.0,0.0,0.8010269999504089,0.423,0.423,0.423,0.37802699995040895
96,687055974805450752,402826190,"Poor Accounting?
POOR ACCOUNTING?????? 😈😈😈😈

I'm going to be sick!!!
#Fuck Off

#Brexit https://t.co/uusYdYjiVL",0x1f608|0x1f608|0x1f608|0x1f608,negative,poor accounting  poor accounting    smiling_face_with_horns smiling_face_with_horns smiling_face_with_horns im go sick   ,0x1f608|0x1f608|0x1f608|0x1f608,-0.8591,-0.5047619047619047,0.60395747423172,0.265,1.1240999999999999,0.7697619047619048,0.33895747423171996
97,687214909017468928,22085760,The top five likely effects of #Brexit on the EU’s policies https://t.co/iyoRlvKd5m 😂😂 Happily it'd no longer be our problem! #GoodByeEU,0x1f602|0x1f602,negative,top five likely effect eu  policy face_with_tears_of_joy face_with_tears_of_joy happily itd longer problem ,0x1f602|0x1f602,0.4019,0.43333333333333335,0.669883131980896,0.221,0.18089999999999998,0.21233333333333335,0.448883131980896
99,687271437552361472,2231120274,Always wakin to sum bull💩 😡,0x1f621,negative,always wakin sum bull pile_of_poo pouting_face,0x1f621,0.0,0.0,0.4831721782684326,-0.173,0.173,0.173,0.6561721782684327
104,687381962265358336,26985345,Or they nosey 😴💯 https://t.co/J6I1RK2wyT,0x1f634,neutral,nosey sleeping_face hundred_points,0x1f634,-0.2023,0.0,0.7393748760223389,-0.08,0.1223,0.08,0.8193748760223388
105,687368890331086848,63925655,"@NASA @astro_timpeake @Space_Station
Good luck &amp; have a great &amp; safe time Tim 👍😲✔
We're watching  #UK
#EUExit
#LeaveEU
#Brexit
#UKIP
#EUref",0x1f632,positive,good luck  great  safe time tim thumbs_up astonished_face check_mark were watch,0x1f632,0.9169,0.6666666666666666,-0.9515007734298706,-0.068,0.9849000000000001,0.7346666666666666,0.8835007734298705
106,687371250973433856,3300640342,Easily offended get of Twitter please #immigrants #brexit 😃 https://t.co/dPIpEOocKW,0x1f603,negative,easily offend get twitter please grinning_face_with_big_eyes,0x1f603,0.3612,0.43333333333333335,0.5549572706222534,0.557,0.19580000000000003,0.1236666666666667,0.0020427293777466327
107,687387685028261888,3177406031,@BBCBreaking @BBCNews 😂😂😂 The EU once again proves how tolerant and respectful of national sovereignty it is. #BREXIT #EUevilempire,0x1f602|0x1f602|0x1f602,positive,face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy eu prove tolerant respectful national sovereignty ,0x1f602|0x1f602|0x1f602,0.6249,0.5,0.5361247062683105,0.221,0.40390000000000004,0.279,0.3151247062683106
109,687445441726820352,3177406031,"@gavthebrexit @BarbaraDeStasio @ladycarole2 @ElContador2000 And now the chickens are roosting. A perfect storm. Perfect, too for #BREXIT 😊",0x1f60a,positive,chicken roost  perfect storm  perfect  smiling_face_with_smiling_eyes,0x1f60a,0.8126,0.4666666666666666,-0.9407156705856323,0.644,0.16859999999999997,0.1773333333333334,1.5847156705856325
110,687534863990321152,3177998014,Worth a read - and debate😉 Who would be Scotland’s friends in a post-Brexit policy scenario?  https://t.co/cj8fa4MWsL,0x1f609,positive,worth read  debate winking_face would scotland  friends postbrexit policy scenario ,0x1f609,0.6124,0.3,0.8127139806747437,0.463,0.14940000000000003,0.16300000000000003,0.34971398067474363
113,687621223564619776,121855199,Day one of college and I'm already counting down to when the semester ends😂,0x1f602,neutral,day one college im already count semester end face_with_tears_of_joy,0x1f602,0.0,0.0,0.5511434078216553,0.221,0.221,0.221,0.3301434078216553
115,687668433937428480,716671512,RT @GQueFromJuice: When Young Thug get interrogated by police 😂💀 https://t.co/UTmwIiryE7,0x1f602,neutral,rt young thug get interrogate police face_with_tears_of_joy skull,0x1f602,0.0,0.1,0.563438355922699,0.221,0.221,0.121,0.342438355922699
116,687697971220209664,20516387,#youknowyoureafarmerwhen you have feed bags as car mats 😂🙈 my fluffy Uggs won't like this 🙉 https://t.co/PyiBLJhTJ1,0x1f602|0x1f648|0x1f649,negative,feed bag car mat face_with_tears_of_joy seenoevil_monkey fluffy uggs like hearnoevil_monkey,0x1f602|0x1f648|0x1f649,0.3612,-0.2,0.6475145816802979,0.32866666666666666,0.03253333333333336,0.5286666666666666,0.3188479150136312
118,687786991585472512,575690565,@yorkshirebec rest your head 😉 #BREXIT,0x1f609,neutral,rest head winking_face,0x1f609,0.0,0.0,0.7739567160606384,0.463,0.463,0.463,0.3109567160606384
120,687937329294630912,815946572,My past formed me into the guy you wanted. I'm not my past I'm my present but if my past is a problem then I don't see you in my future😔,0x1f614,neutral,past form guy want  im past im present past problem see future pensive_face,0x1f614,-0.34,-0.15,0.6192904710769653,-0.146,0.19400000000000003,0.0040000000000000036,0.7652904710769654
121,688006272797523968,70777246,Greetings Again! Hey Recruits! Two more Thangs! Be Honest &amp; Be Professional! Keep it 💯 #BuildYourResume' #Recruiting #Relationships 😎💯💯💯💯💯💯💯,0x1f60e,positive,greeting  hey recruit  two thangs  honest  professional  keep hundred_points smiling_face_with_sunglasses hundred_points hundred_points hundred_points,0x1f60e,0.7096,0.35,0.5448410511016846,0.491,0.21860000000000002,0.14100000000000001,0.05384105110168458
123,688033296052293632,3435756377,Why because a kipper won't buy your BBC bias crap? News for you the DUP supports the brexit too. 😄 https://t.co/KqgSgtNAgs,0x1f604,positive,kipper buy bbc bias crap  news dup support brexit  grinning_face_with_smiling_eyes,0x1f604,-0.0772,-0.8,0.6335242986679077,0.421,0.4982,1.221,0.21252429866790773
125,688087597458014208,2868780215,I'm not actually sure I can cope seeing him so little and just starting out 😭 https://t.co/NUncbiRZR5,0x1f62d,neutral,im actually sure cope see little start loudly_crying_face,0x1f62d,0.3182,0.15625,0.5875022411346436,-0.093,0.4112,0.24925,0.6805022411346435
126,688242111439699968,50836292,"@joyk76 😂😂😂.. Am about to make a call, text a message and appear in person.. Be ready for more..",0x1f602|0x1f602|0x1f602,negative,face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy  make call  text message appear person  ready ,0x1f602|0x1f602|0x1f602,0.3612,0.2,0.5476863384246826,0.221,0.14020000000000002,0.02099999999999999,0.32668633842468264
127,688284539043495936,3717265696,@AfredAlbion @BristolComSense @UKIP @UKBorder @BBCPolitics @BBCWorld @SkyNews @itvnews #Brexit #EU Cologne will fall to the #immigrants. 😠😬,0x1f620|0x1f62c,neutral,cologne fall angry_face grimacing_face,0x1f620|0x1f62c,0.0,0.0,0.4906023442745209,-0.05249999999999999,0.05249999999999999,0.05249999999999999,0.5431023442745209
128,688294550251556864,412973696,Off to campaign for @vote_leave in Gloucester! We'll be there 10-3 outside the Guildhall.😄 #VoteLeave #Brexit https://t.co/0eSxlqDfTv,0x1f604,neutral,campaign gloucester  well 103 outside guildhall  grinning_face_with_smiling_eyes,0x1f604,0.2732,0.0,-0.645025908946991,0.421,0.1478,0.421,1.066025908946991
129,688386500246040576,3130583288,"@TelegraphNews @Telegraph He's  right, I agree, Brexit or not,we can't wash our hands of dear Europe 😢 We're in the same boat,believe u me.",0x1f622,positive,hes right  agree  brexit  cant wash hand dear europe crying_face were boat  believe u ,0x1f622,-0.3208,0.2857142857142857,0.5171511173248291,0.007,0.3278,0.2787142857142857,0.5101511173248291
130,688466108274372608,599581147,"#brexit
Vote him out.
Oh, I forgot - we can't do that. 😠

https://t.co/VM4epnrJ0l",0x1f620,negative,vote  oh  forget  cant  angry_face,0x1f620,-0.2263,0.0,0.4565281271934509,-0.299,0.07269999999999999,0.299,0.7555281271934509
